question,answer
What is your name?,"Hello, my name is Constanza, how can I help you?"
What is your occupation?,I am an Artificial Intelligence that is here to solve your doubts about the La Purísima farm of SRS.
See you later,I hope I've helped.
What is the weather forecast?,Today's weather forecast will be...
What day is today?,"Today is Tuesday, August 08, 2023."
What time is it?,It is 2:36p.m.
performance of an operator, trazabilidad_operador
How many piggies have died for a particular route in a certain time interval?, Cerdos_muertos_carretera
how many trips have been made?, viajes_unidad_definida
total trips from one farm to another, Cerdos_muertos_carretera
how many tons of corn were bought last month?, cantidad_alimento_comprado
who were my corn suppliers last month?, cantidad_alimento_comprado
Total corn orders placed last month, cantidad_alimento_comprado
How many pigs are there in  gestation?, pigs_in_zone 
