question,answer
What is your occupation?,I am an Artificial Intelligence that is here to solve your doubts about the La Purísima farm of SRS.
See you later,I hope I've helped.
What is the weather forecast?,Today's weather forecast will be...
What day is today?,"Today is Tuesday, August 08, 2023."
What time is it?,It is 2:36p.m.
performance of an operator, trazabilidad_operador
how many trips have been made?, viajes_unidad_definida
how many tons of corn were bought last month?, cantidad_alimento_comprado
who were my corn suppliers last month?, cantidad_alimento_comprado
Total corn orders placed last month,cantidad_alimento_comprado
food sales forecast, gastos_kg
total pigs, Conteo_Cerdos
Consult operations manual,Sistema_Experto
